info: Request to render products page. Layer:Controller, Router: Views
info: Getting products data. Layer:Controller, Router: Views
info: Rendering products page...  Layer:Controller, Router: Views
info: Request to render products page. Layer:Controller, Router: Views, Date: Thu May 09 2024 21:30:42 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 21:30:42 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 21:30:43 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 21:34:56 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 21:34:56 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 21:47:00 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 21:47:01 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:11:41 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:11:41 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:11:49 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:11:49 GMT-0300 (Argentina Standard Time)

info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:12:11 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:12:11 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:13:21 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:13:21 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:15:33 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:15:33 GMT-0300 (Argentina Standard Time)
info: Getting cartData. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:15:47 GMT-0300 (Argentina Standard Time)
info: Rendering cart page... Layer:Controller, Router: Views, Date: Thu May 09 2024 22:15:47 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:16:54 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:16:54 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:18:55 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:18:55 GMT-0300 (Argentina Standard Time)
info: Getting product data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:18:57 GMT-0300 (Argentina Standard Time)
info: Rendering product page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:18:57 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:19:13 GMT-0300 (Argentina Standard Time)
info: Rendering products page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:19:13 GMT-0300 (Argentina Standard Time)
info: Getting product data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:19:22 GMT-0300 (Argentina Standard Time)
info: Rendering product page...  Layer:Controller, Router: Views, Date: Thu May 09 2024 22:19:22 GMT-0300 (Argentina Standard Time)
info: Getting products data. Layer:Controller, Router: Views, Date: Thu May 09 2024 22:19:25 GMT-0300 (Argentina Standard Time)
